chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,origin_sample,LABEL
0.5678069,0.031379413,2417.1369476303353,2063.659958928304,4284.37333540483,0.1553955078125,-183.38074,82.7804,-64.08981,-2.0046504,-6.767502,-1.1344733,-13.509484,2.4605055,-1.6404289,4.186587,-2.2841513,1.2600303,-2.2427154,1.6882877,-4.516947,0.6692204,-3.0710726,0.16347411,-4.483643,0.77788943,extracted_segment_biden_AI,NEW_FAKE
0.34425113,0.058454815,2068.8587058069793,1986.5459622217013,3746.0432572798295,0.10806551846590909,-175.2602,100.64383,-45.641037,9.762445,-4.2335677,1.5078686,-13.863183,-6.3774953,-8.641335,-0.5101249,-9.76354,2.388024,-5.447322,-3.9748209,-7.7867284,-1.7420254,-7.5636916,-3.1571288,-5.1040993,-2.8777368,extracted_segment_biden_AI,NEW_FAKE
0.3128743,0.054700825,1788.127093542745,1838.5806332555076,3163.6679909446025,0.09311745383522728,-199.14291,117.8826,-43.773537,8.443016,-6.6893096,-3.135547,-14.576239,-0.41793156,-8.986946,-1.9944867,-6.3709874,3.3454626,-8.329665,3.36463,-0.45789072,-3.8439536,-7.6834903,0.41713497,-6.2020345,-3.0115938,extracted_segment_biden_AI,NEW_FAKE
0.50471574,0.017552026,2323.1572031612127,1995.3066267200486,3901.424893465909,0.16533868963068182,-231.35997,93.45227,-62.871838,-2.4765918,-5.804102,-1.6477264,-7.8205476,12.217959,1.3227959,4.541539,0.9416649,4.6835938,-5.6763406,5.215757,0.93962437,-0.60452324,-5.269087,3.8118317,-3.6299736,-2.7377024,extracted_segment_biden_AI,NEW_FAKE
0.572671,0.01729165,2360.7593850237754,2041.1890673805558,4131.683349609375,0.16042258522727273,-225.73247,91.51055,-60.92671,-1.2313085,-4.533324,2.3726175,-10.135079,10.197732,2.2993956,5.2059813,2.80054,5.753473,-3.3193405,2.4159906,-2.0592203,-1.0573074,-5.085097,0.633511,-4.174148,-2.0890424,extracted_segment_biden_AI,NEW_FAKE
0.46863243,0.042189784,2104.4275107755498,1975.0372763193445,3734.2978737571025,0.11754261363636363,-206.98598,100.93494,-52.709167,2.513531,-4.755915,2.0946088,-10.680031,1.1283034,-3.577695,6.1255946,-2.6225107,4.7379823,-3.5689325,-0.040762722,-3.4951186,1.4542668,-2.7667167,0.2871817,-2.2867577,-1.111233,extracted_segment_biden_AI,NEW_FAKE
0.28743884,0.060797457,1893.0439638121272,1924.7317139489417,3471.984308416193,0.08382901278409091,-182.8533,107.85438,-44.98547,13.761679,2.1144285,5.1471295,-16.344297,-8.407627,-10.495332,-1.3947679,-14.422965,-4.758028,-6.1137133,-1.1984621,-5.477083,-0.032150637,-2.9298096,0.2435008,-2.5707781,0.8884378,extracted_segment_biden_AI,NEW_FAKE
0.56701237,0.023077227,2260.562531332661,1992.8695154968257,3846.368408203125,0.14314408735795456,-219.34409,94.61629,-60.230057,1.7574272,1.8132534,5.831902,-7.759976,9.065774,-1.4825573,3.9913332,-2.2089205,1.1179022,-4.432049,2.0731356,-3.822098,-1.138422,-0.758089,0.72654456,-4.9032917,3.2125678,extracted_segment_biden_AI,NEW_FAKE
0.65867025,0.019833175,2422.420219779195,2142.5600294760366,4441.95723100142,0.15062366832386365,-220.54347,86.807076,-55.040623,0.040875696,-2.156928,7.864101,-10.339643,5.3963537,-0.4699888,4.092149,-3.7464058,3.365269,-3.7036805,1.8918124,-2.8226683,0.41514504,-3.915478,0.22205585,-3.0676148,2.070086,extracted_segment_biden_AI,NEW_FAKE
0.39678332,0.036328826,1662.9647596615614,2018.3425730652125,3409.097567471591,0.07259854403409091,-312.43085,129.63841,-10.707845,22.56789,23.33893,-1.7237304,-12.338799,-8.854343,-9.221825,1.2210495,-6.1567535,-0.832605,1.8619107,-4.247797,-7.5509157,-0.5487298,-7.7546773,-7.140587,-9.025547,2.1876657,extracted_segment_biden_AI,NEW_FAKE
0.29924306,0.041575845,1950.448973906319,1938.9955748951077,3600.9388316761365,0.10322709517045454,-271.7917,109.94663,-13.729678,35.261654,24.228523,-5.272492,-12.758334,-13.480484,-14.606873,1.5484669,-7.4438777,2.2896209,-2.4538329,-8.338828,-1.5164775,-3.277234,-12.568896,-6.3759365,-2.9009993,1.6100547,extracted_segment_biden_AI,NEW_FAKE
0.3089262,0.037434675,2065.9062809629872,1894.1233103280392,3420.5982555042615,0.12183726917613637,-269.537,110.370674,-9.636056,20.388174,4.9270005,-9.303762,-14.379251,-7.8467317,-6.0779953,7.4336104,-2.8631587,6.5829334,-4.3567486,-7.85694,-3.506582,-3.6358123,-12.796225,-8.229857,-4.1379423,5.283691,extracted_segment_biden_AI,NEW_FAKE
0.32093346,0.028666615,1416.3416261330867,1682.747937819133,2821.5836958451705,0.054443359375,-354.70224,134.29832,-16.010664,30.929497,33.13656,-1.2053761,-6.755876,-8.120334,-6.5336213,1.2739723,-6.0520554,-3.2956574,-0.269689,0.081388354,-6.55199,-9.983882,-7.1970015,-5.3004575,-8.301335,-0.699036,extracted_segment_biden_AI,NEW_FAKE
